[INFO] [2024-04-24 17:20:39,240] Epoch<1/3>|Step<3/13> avg loss:1.047533
[INFO] [2024-04-24 17:20:41,477] Epoch<1/3>|Step<4/13> avg loss:0.983608
[INFO] [2024-04-24 17:20:43,630] Epoch<1/3>|Step<5/13> avg loss:0.905586
[INFO] [2024-04-24 17:20:45,794] Epoch<1/3>|Step<6/13> avg loss:0.827425
[INFO] [2024-04-24 17:20:47,987] Epoch<1/3>|Step<7/13> avg loss:0.749011
[INFO] [2024-04-24 17:20:50,111] Epoch<1/3>|Step<8/13> avg loss:0.680264
[INFO] [2024-04-24 17:20:52,313] Epoch<1/3>|Step<9/13> avg loss:0.630145
[INFO] [2024-04-24 17:20:54,472] Epoch<1/3>|Step<10/13> avg loss:0.592681
[INFO] [2024-04-24 17:20:56,959] Epoch<1/3>|Step<11/13> avg loss:0.559910
[INFO] [2024-04-24 17:20:59,173] Epoch<1/3>|Step<12/13> avg loss:0.537403
[INFO] [2024-04-24 17:21:00,352] Epoch<1/3>|Step<13/13> avg loss:0.517659
[INFO] [2024-04-24 17:23:31,715] Epoch<1/3> current loss:0.243422, best loss:0.243422, current PSNR:13.513797(max:21.512502|min:7.006060), best PSNR:13.513797
[INFO] [2024-04-24 17:23:31,715] Epoch<2/3> current lr:0.010000
[INFO] [2024-04-24 17:23:46,679] Epoch<2/3>|Step<1/13> avg loss:0.254913
[INFO] [2024-04-24 17:23:49,127] Epoch<2/3>|Step<2/13> avg loss:0.253032
[INFO] [2024-04-24 17:23:51,227] Epoch<2/3>|Step<3/13> avg loss:0.240761
[INFO] [2024-04-24 17:23:53,447] Epoch<2/3>|Step<4/13> avg loss:0.249676
[INFO] [2024-04-24 17:23:55,697] Epoch<2/3>|Step<5/13> avg loss:0.242333
[INFO] [2024-04-24 17:23:57,906] Epoch<2/3>|Step<6/13> avg loss:0.237886
[INFO] [2024-04-24 17:24:00,115] Epoch<2/3>|Step<7/13> avg loss:0.236164
[INFO] [2024-04-24 17:24:02,389] Epoch<2/3>|Step<8/13> avg loss:0.237213
[INFO] [2024-04-24 17:24:04,607] Epoch<2/3>|Step<9/13> avg loss:0.238839
[INFO] [2024-04-24 17:24:06,777] Epoch<2/3>|Step<10/13> avg loss:0.245491
[INFO] [2024-04-24 17:24:08,950] Epoch<2/3>|Step<11/13> avg loss:0.245463
[INFO] [2024-04-24 17:24:11,133] Epoch<2/3>|Step<12/13> avg loss:0.246221
[INFO] [2024-04-24 17:24:12,425] Epoch<2/3>|Step<13/13> avg loss:0.243819
[INFO] [2024-04-24 17:26:43,875] Epoch<2/3> current loss:0.243565, best loss:0.243422, current PSNR:13.404764(max:21.923780|min:6.970573), best PSNR:13.513797
[INFO] [2024-04-24 17:26:43,875] Epoch<3/3> current lr:0.010000
[INFO] [2024-04-24 17:26:58,055] Epoch<3/3>|Step<1/13> avg loss:0.281255
[INFO] [2024-04-24 17:27:00,216] Epoch<3/3>|Step<2/13> avg loss:0.268324
[INFO] [2024-04-24 17:27:02,406] Epoch<3/3>|Step<3/13> avg loss:0.257693
[INFO] [2024-04-24 17:27:04,564] Epoch<3/3>|Step<4/13> avg loss:0.263097
[INFO] [2024-04-24 17:27:06,693] Epoch<3/3>|Step<5/13> avg loss:0.257410
[INFO] [2024-04-24 17:27:08,986] Epoch<3/3>|Step<6/13> avg loss:0.254945
